,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
219,601398.SH,20230412,4.2786,4.3536,4.2692,4.3255,4.55,-0.22449999999999992,-4.9341,3198518.03,1472027.339
220,601398.SH,20230411,4.2692,4.288,4.2504,4.2692,4.55,-0.28080000000000016,-6.1714,1852176.53,843163.088
221,601398.SH,20230410,4.2504,4.2786,4.2223,4.2692,4.53,-0.2608000000000006,-5.7572,2403449.17,1090106.743
222,601398.SH,20230407,4.241,4.2598,4.2317,4.2504,4.53,-0.2796000000000003,-6.1722,1247347.68,564750.744
223,601398.SH,20230406,4.2317,4.2598,4.2129,4.2504,4.52,-0.2695999999999996,-5.9646,1958216.08,884878.223
224,601398.SH,20230404,4.1754,4.241,4.166,4.241,4.45,-0.20900000000000052,-4.6966,3061591.33,1376907.554
225,601398.SH,20230403,4.1847,4.1941,4.166,4.1754,4.46,-0.2846000000000002,-6.3812,2005186.09,892555.875
226,601398.SH,20230331,4.241,4.241,4.1754,4.1847,4.52,-0.33529999999999927,-7.4181,2345624.82,1050304.784
227,601398.SH,20230330,4.2317,4.2692,4.2035,4.241,4.51,-0.26900000000000013,-5.9645,1810266.32,816555.471
228,601398.SH,20230329,4.2223,4.2504,4.1847,4.2317,4.49,-0.2583000000000002,-5.7528,2153324.56,969916.345
229,601398.SH,20230328,4.1941,4.2223,4.166,4.2129,4.46,-0.24709999999999965,-5.5404,1718590.69,768256.378
230,601398.SH,20230327,4.1941,4.2035,4.1378,4.1847,4.48,-0.2953000000000001,-6.5915,2126959.3,944911.324
231,601398.SH,20230324,4.2317,4.2317,4.1941,4.2035,4.52,-0.31649999999999956,-7.0022,1619528.87,726293.38
232,601398.SH,20230323,4.2317,4.2504,4.2035,4.241,4.52,-0.2789999999999999,-6.1726,1898473.48,855390.079
233,601398.SH,20230322,4.1847,4.241,4.1754,4.241,4.45,-0.20900000000000052,-4.6966,2218087.82,998009.99
234,601398.SH,20230321,4.241,4.2692,4.166,4.1754,4.51,-0.3346,-7.4191,2735102.46,1222842.097
235,601398.SH,20230320,4.241,4.3161,4.2223,4.2317,4.52,-0.28829999999999956,-6.3783,3386446.15,1541399.77
236,601398.SH,20230317,4.2504,4.2973,4.2129,4.241,4.52,-0.2789999999999999,-6.1726,3428580.62,1553254.966
237,601398.SH,20230316,4.1754,4.288,4.166,4.241,4.46,-0.2190000000000003,-4.9103,5873947.44,2655044.111
238,601398.SH,20230315,4.1566,4.1941,4.1378,4.1847,4.41,-0.22529999999999983,-5.1088,2896830.79,1288387.303
